Source,Sink,Detection Mechanism,# Nodes,# Edges
Read File,Internet,Call Chain Leak,104,174
Read File,Internet,Exception Leak,104,174
Read File,Write File,Call Chain Leak,277,587
Read File,Write File,Exception Leak,277,587
Read File,Internet Intent,Call Chain Leak,276,565
Read File,Internet Intent,Exception Leak,276,565
Read File,Sneaky Intent,Call Chain Leak,0,0
Read File,Sneaky Intent,Exception Leak,0,0
Read File,Write Logs,Call Chain Leak,298,630
Read File,Write Logs,Exception Leak,298,630
Access Camera,Internet,Call Chain Leak,0,0
Access Camera,Internet,Exception Leak,0,0
Access Camera,Write File,Call Chain Leak,53,75
Access Camera,Write File,Exception Leak,53,75
Access Camera,Internet Intent,Call Chain Leak,60,82
Access Camera,Internet Intent,Exception Leak,60,82
Access Camera,Sneaky Intent,Call Chain Leak,0,0
Access Camera,Sneaky Intent,Exception Leak,0,0
Access Camera,Write Logs,Call Chain Leak,70,108
Access Camera,Write Logs,Exception Leak,70,108
Java Cryptology,Internet,Call Chain Leak,240,488
Java Cryptology,Internet,Exception Leak,240,488
Java Cryptology,Write File,Call Chain Leak,355,741
Java Cryptology,Write File,Exception Leak,355,741
Java Cryptology,Internet Intent,Call Chain Leak,355,717
Java Cryptology,Internet Intent,Exception Leak,355,717
Java Cryptology,Sneaky Intent,Call Chain Leak,0,0
Java Cryptology,Sneaky Intent,Exception Leak,0,0
Java Cryptology,Write Logs,Call Chain Leak,386,821
Java Cryptology,Write Logs,Exception Leak,386,821
Access Network State,Internet,Call Chain Leak,0,0
Access Network State,Internet,Exception Leak,0,0
Access Network State,Write File,Call Chain Leak,0,0
Access Network State,Write File,Exception Leak,0,0
Access Network State,Internet Intent,Call Chain Leak,0,0
Access Network State,Internet Intent,Exception Leak,0,0
Access Network State,Sneaky Intent,Call Chain Leak,0,0
Access Network State,Sneaky Intent,Exception Leak,0,0
Access Network State,Write Logs,Call Chain Leak,11,11
Access Network State,Write Logs,Exception Leak,11,11
Java Security,Internet,Call Chain Leak,256,483
Java Security,Internet,Exception Leak,256,483
Java Security,Write File,Call Chain Leak,373,734
Java Security,Write File,Exception Leak,373,734
Java Security,Internet Intent,Call Chain Leak,373,710
Java Security,Internet Intent,Exception Leak,373,710
Java Security,Sneaky Intent,Call Chain Leak,0,0
Java Security,Sneaky Intent,Exception Leak,0,0
Java Security,Write Logs,Call Chain Leak,408,824
Java Security,Write Logs,Exception Leak,408,824
Access Contacts,Internet,Call Chain Leak,0,0
Access Contacts,Internet,Exception Leak,0,0
Access Contacts,Write File,Call Chain Leak,0,0
Access Contacts,Write File,Exception Leak,0,0
Access Contacts,Internet Intent,Call Chain Leak,3,2
Access Contacts,Internet Intent,Exception Leak,3,2
Access Contacts,Sneaky Intent,Call Chain Leak,0,0
Access Contacts,Sneaky Intent,Exception Leak,0,0
Access Contacts,Write Logs,Call Chain Leak,0,0
Access Contacts,Write Logs,Exception Leak,0,0
