Source,Sink,Detection Mechanism,# Nodes,# Edges
Java Security,Write Logs,Call Chain Leak,285,602
Java Security,Write Logs,Exception Leak,285,602
Java Security,Sneaky Intent,Call Chain Leak,0,0
Java Security,Sneaky Intent,Exception Leak,0,0
Java Security,Write File,Call Chain Leak,62,117
Java Security,Write File,Exception Leak,62,117
Java Security,Internet,Call Chain Leak,45,91
Java Security,Internet,Exception Leak,45,91
Java Security,Internet Intent,Call Chain Leak,55,95
Java Security,Internet Intent,Exception Leak,55,95
Access Accounts,Write Logs,Call Chain Leak,194,381
Access Accounts,Write Logs,Exception Leak,194,381
Access Accounts,Sneaky Intent,Call Chain Leak,0,0
Access Accounts,Sneaky Intent,Exception Leak,0,0
Access Accounts,Write File,Call Chain Leak,22,25
Access Accounts,Write File,Exception Leak,22,25
Access Accounts,Internet,Call Chain Leak,0,0
Access Accounts,Internet,Exception Leak,0,0
Access Accounts,Internet Intent,Call Chain Leak,23,27
Access Accounts,Internet Intent,Exception Leak,23,27
Access Contacts,Write Logs,Call Chain Leak,215,439
Access Contacts,Write Logs,Exception Leak,215,439
Access Contacts,Sneaky Intent,Call Chain Leak,0,0
Access Contacts,Sneaky Intent,Exception Leak,0,0
Access Contacts,Write File,Call Chain Leak,52,75
Access Contacts,Write File,Exception Leak,52,75
Access Contacts,Internet,Call Chain Leak,5,4
Access Contacts,Internet,Exception Leak,5,4
Access Contacts,Internet Intent,Call Chain Leak,46,65
Access Contacts,Internet Intent,Exception Leak,46,65
Access Sensors,Write Logs,Call Chain Leak,13,16
Access Sensors,Write Logs,Exception Leak,13,16
Access Sensors,Sneaky Intent,Call Chain Leak,0,0
Access Sensors,Sneaky Intent,Exception Leak,0,0
Access Sensors,Write File,Call Chain Leak,0,0
Access Sensors,Write File,Exception Leak,0,0
Access Sensors,Internet,Call Chain Leak,0,0
Access Sensors,Internet,Exception Leak,0,0
Access Sensors,Internet Intent,Call Chain Leak,0,0
Access Sensors,Internet Intent,Exception Leak,0,0
Access Network State,Write Logs,Call Chain Leak,195,382
Access Network State,Write Logs,Exception Leak,195,382
Access Network State,Sneaky Intent,Call Chain Leak,0,0
Access Network State,Sneaky Intent,Exception Leak,0,0
Access Network State,Write File,Call Chain Leak,21,24
Access Network State,Write File,Exception Leak,21,24
Access Network State,Internet,Call Chain Leak,0,0
Access Network State,Internet,Exception Leak,0,0
Access Network State,Internet Intent,Call Chain Leak,22,26
Access Network State,Internet Intent,Exception Leak,22,26
Java Cryptology,Write Logs,Call Chain Leak,220,447
Java Cryptology,Write Logs,Exception Leak,220,447
Java Cryptology,Sneaky Intent,Call Chain Leak,0,0
Java Cryptology,Sneaky Intent,Exception Leak,0,0
Java Cryptology,Write File,Call Chain Leak,40,58
Java Cryptology,Write File,Exception Leak,40,58
Java Cryptology,Internet,Call Chain Leak,10,10
Java Cryptology,Internet,Exception Leak,10,10
Java Cryptology,Internet Intent,Call Chain Leak,35,46
Java Cryptology,Internet Intent,Exception Leak,35,46
Access Location,Write Logs,Call Chain Leak,197,386
Access Location,Write Logs,Exception Leak,197,386
Access Location,Sneaky Intent,Call Chain Leak,0,0
Access Location,Sneaky Intent,Exception Leak,0,0
Access Location,Write File,Call Chain Leak,30,37
Access Location,Write File,Exception Leak,30,37
Access Location,Internet,Call Chain Leak,0,0
Access Location,Internet,Exception Leak,0,0
Access Location,Internet Intent,Call Chain Leak,31,39
Access Location,Internet Intent,Exception Leak,31,39
Read File,Write Logs,Call Chain Leak,258,522
Read File,Write Logs,Exception Leak,258,522
Read File,Sneaky Intent,Call Chain Leak,0,0
Read File,Sneaky Intent,Exception Leak,0,0
Read File,Write File,Call Chain Leak,62,90
Read File,Write File,Exception Leak,62,90
Read File,Internet,Call Chain Leak,26,26
Read File,Internet,Exception Leak,26,26
Read File,Internet Intent,Call Chain Leak,59,81
Read File,Internet Intent,Exception Leak,59,81
Access Audio,Write Logs,Call Chain Leak,194,381
Access Audio,Write Logs,Exception Leak,194,381
Access Audio,Sneaky Intent,Call Chain Leak,0,0
Access Audio,Sneaky Intent,Exception Leak,0,0
Access Audio,Write File,Call Chain Leak,23,26
Access Audio,Write File,Exception Leak,23,26
Access Audio,Internet,Call Chain Leak,0,0
Access Audio,Internet,Exception Leak,0,0
Access Audio,Internet Intent,Call Chain Leak,24,28
Access Audio,Internet Intent,Exception Leak,24,28
Access Camera,Write Logs,Call Chain Leak,200,393
Access Camera,Write Logs,Exception Leak,200,393
Access Camera,Sneaky Intent,Call Chain Leak,0,0
Access Camera,Sneaky Intent,Exception Leak,0,0
Access Camera,Write File,Call Chain Leak,31,38
Access Camera,Write File,Exception Leak,31,38
Access Camera,Internet,Call Chain Leak,0,0
Access Camera,Internet,Exception Leak,0,0
Access Camera,Internet Intent,Call Chain Leak,30,38
Access Camera,Internet Intent,Exception Leak,30,38
