Source,Sink,Detection Mechanism,# Nodes,# Edges
Java Cryptology,Write File,Call Chain Leak,38,46
Java Cryptology,Write File,Exception Leak,38,46
Java Cryptology,Write Logs,Call Chain Leak,49,82
Java Cryptology,Write Logs,Exception Leak,49,82
Java Cryptology,Sneaky Intent,Call Chain Leak,0,0
Java Cryptology,Sneaky Intent,Exception Leak,0,0
Read File,Write File,Call Chain Leak,30,35
Read File,Write File,Exception Leak,30,35
Read File,Write Logs,Call Chain Leak,39,67
Read File,Write Logs,Exception Leak,39,67
Read File,Sneaky Intent,Call Chain Leak,0,0
Read File,Sneaky Intent,Exception Leak,0,0
Java Security,Write File,Call Chain Leak,31,35
Java Security,Write File,Exception Leak,31,35
Java Security,Write Logs,Call Chain Leak,45,73
Java Security,Write Logs,Exception Leak,45,73
Java Security,Sneaky Intent,Call Chain Leak,0,0
Java Security,Sneaky Intent,Exception Leak,0,0
