Source,Sink,Detection Mechanism,# Nodes,# Edges
Access Camera,Sneaky Intent,Call Chain Leak,0,0
Access Camera,Sneaky Intent,Exception Leak,0,0
Access Camera,Write Logs,Call Chain Leak,269,603
Access Camera,Write Logs,Exception Leak,269,603
Access Camera,Internet Intent,Call Chain Leak,160,284
Access Camera,Internet Intent,Exception Leak,160,284
Access Camera,Composer Intent,Call Chain Leak,160,284
Access Camera,Composer Intent,Exception Leak,160,284
Access Camera,Write File,Call Chain Leak,92,150
Access Camera,Write File,Exception Leak,92,150
Java Security,Sneaky Intent,Call Chain Leak,0,0
Java Security,Sneaky Intent,Exception Leak,0,0
Java Security,Write Logs,Call Chain Leak,265,583
Java Security,Write Logs,Exception Leak,265,583
Java Security,Internet Intent,Call Chain Leak,132,226
Java Security,Internet Intent,Exception Leak,132,226
Java Security,Composer Intent,Call Chain Leak,132,226
Java Security,Composer Intent,Exception Leak,132,226
Java Security,Write File,Call Chain Leak,83,140
Java Security,Write File,Exception Leak,83,140
Access Contacts,Sneaky Intent,Call Chain Leak,0,0
Access Contacts,Sneaky Intent,Exception Leak,0,0
Access Contacts,Write Logs,Call Chain Leak,274,622
Access Contacts,Write Logs,Exception Leak,274,622
Access Contacts,Internet Intent,Call Chain Leak,157,279
Access Contacts,Internet Intent,Exception Leak,157,279
Access Contacts,Composer Intent,Call Chain Leak,157,279
Access Contacts,Composer Intent,Exception Leak,157,279
Access Contacts,Write File,Call Chain Leak,91,152
Access Contacts,Write File,Exception Leak,91,152
Java Cryptology,Sneaky Intent,Call Chain Leak,0,0
Java Cryptology,Sneaky Intent,Exception Leak,0,0
Java Cryptology,Write Logs,Call Chain Leak,136,249
Java Cryptology,Write Logs,Exception Leak,136,249
Java Cryptology,Internet Intent,Call Chain Leak,48,67
Java Cryptology,Internet Intent,Exception Leak,48,67
Java Cryptology,Composer Intent,Call Chain Leak,48,67
Java Cryptology,Composer Intent,Exception Leak,48,67
Java Cryptology,Write File,Call Chain Leak,17,18
Java Cryptology,Write File,Exception Leak,17,18
Read File,Sneaky Intent,Call Chain Leak,0,0
Read File,Sneaky Intent,Exception Leak,0,0
Read File,Write Logs,Call Chain Leak,136,249
Read File,Write Logs,Exception Leak,136,249
Read File,Internet Intent,Call Chain Leak,48,67
Read File,Internet Intent,Exception Leak,48,67
Read File,Composer Intent,Call Chain Leak,48,67
Read File,Composer Intent,Exception Leak,48,67
Read File,Write File,Call Chain Leak,17,18
Read File,Write File,Exception Leak,17,18
