Source,Sink,Detection Mechanism,# Nodes,# Edges
Java Cryptology,Write Logs,Call Chain Leak,0,0
Java Cryptology,Write Logs,Exception Leak,0,0
Java Cryptology,Sneaky Intent,Call Chain Leak,0,0
Java Cryptology,Sneaky Intent,Exception Leak,0,0
Java Cryptology,Internet Intent,Call Chain Leak,0,0
Java Cryptology,Internet Intent,Exception Leak,0,0
Java Cryptology,Write File,Call Chain Leak,19,27
Java Cryptology,Write File,Exception Leak,19,27
Java Cryptology,Internet,Call Chain Leak,0,0
Java Cryptology,Internet,Exception Leak,0,0
Access Camera,Write Logs,Call Chain Leak,535,1071
Access Camera,Write Logs,Exception Leak,535,1071
Access Camera,Sneaky Intent,Call Chain Leak,0,0
Access Camera,Sneaky Intent,Exception Leak,0,0
Access Camera,Internet Intent,Call Chain Leak,203,364
Access Camera,Internet Intent,Exception Leak,203,364
Access Camera,Write File,Call Chain Leak,449,719
Access Camera,Write File,Exception Leak,449,719
Access Camera,Internet,Call Chain Leak,0,0
Access Camera,Internet,Exception Leak,0,0
Read File,Write Logs,Call Chain Leak,497,1004
Read File,Write Logs,Exception Leak,497,1004
Read File,Sneaky Intent,Call Chain Leak,0,0
Read File,Sneaky Intent,Exception Leak,0,0
Read File,Internet Intent,Call Chain Leak,169,282
Read File,Internet Intent,Exception Leak,169,282
Read File,Write File,Call Chain Leak,414,587
Read File,Write File,Exception Leak,414,587
Read File,Internet,Call Chain Leak,0,0
Read File,Internet,Exception Leak,0,0
Java Security,Write Logs,Call Chain Leak,0,0
Java Security,Write Logs,Exception Leak,0,0
Java Security,Sneaky Intent,Call Chain Leak,0,0
Java Security,Sneaky Intent,Exception Leak,0,0
Java Security,Internet Intent,Call Chain Leak,0,0
Java Security,Internet Intent,Exception Leak,0,0
Java Security,Write File,Call Chain Leak,16,22
Java Security,Write File,Exception Leak,16,22
Java Security,Internet,Call Chain Leak,0,0
Java Security,Internet,Exception Leak,0,0
